Ref,Grant Recipient,State,Federal Award FY 2015,Federal Award FY 2016,Federal Award FY 2017 ,Federal Award FY 2018,Federal Award FY 2019 ,Total,BJA Link 1,BJA Link 2,BJA Link 3
BJA234,Jackson Police Department,MS,,,,300000,,300000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA112,Jacksonville,FL,,,997956,,,997956,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA026,Jefferson County,AL,,,,702000,,702000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA309,"Johnstown, City of",PA,63000,,,,,63000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA393,Juneau County,WI,,,44505,,,44505,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA389,Kalispel Indian Community of the Kalispel Reservation,WA,,,,,51757,51757,https://bja.ojp.gov/funding/awards/2019-bc-bx-0055,,
BJA180,Kansas State University,KS,,6878,,,,6878,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA067,Kern County,CA,,,135000,,,135000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA224,La Crescent,MN,,,25000,,,25000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA157,Lake County Sheriffs Department,IL,73000,,,,,73000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA399,Laramie County,WY,,16500,,,,16500,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA357,Laredo Independent Sch,TX,46499,,,,,46499,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA266,Las Vegas,NV,250000,,39020,,,289020,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,
BJA181,Lawrence,KS,,,231000,,,231000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA371,Layton,UT,,,36846,,,36846,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA253,Lebanon,NH,,,18607,,,18607,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA230,"LEE'S SUMMIT, CITY OF",MO,,,,,254455,254455,https://bja.ojp.gov/funding/awards/2019-bc-bx-0029,,
BJA213,Leech Lake Band of Ojibwe,MN,41967,,,,,41967,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA318,Lehigh,PA,,6125,,,,6125,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA013,Lincoln County,OR,,,20368,,,20368,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA231,Lincoln University,MO,,,13445,,,13445,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA207,Little Traverse Bay Band of the Odawa Indians,MI,,14225,,,,14225,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA319,Lock Haven University of Pennsylvania,PA,,,,16500,,16500,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA068,Los Angeles County,CA,,999600,,,,999600,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA402,Los Angeles Police Department,CA,,,,,710000,710000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0024,,
BJA403,Los Angeles Police Department,CA,1000000,,,,,1000000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA376,"Lynchburg, City of",VA,205486,,,,,205486,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA014,Marion County,OR,,99000,,,,99000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA295,"Marion County, Ohio",OH,,,,,26794,26794,https://bja.ojp.gov/funding/awards/2019-bc-bx-0006,,
BJA208,Match-E-Be-Nash-She-Wish Band of Pottawatomi Indians,MI,,,,,44000,44000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0082,,
BJA327,Mayaguez,PR,,95427,,,,95427,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA182,Merriam Police Department,KS,,,,41250,,41250,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA090,Metropolitan Police Department,DC,1000000,,,,,1000000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA113,Miami,FL,,960000,,,,960000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA097,Miami-Dade County,FL,1000000,,,,,1000000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA396,Mingo County Commission,WV,,,,27000,,27000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA214,"Minneapolis, City of",MN,600000,,,,,600000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA354,Morristown,TN,,42500,,,,42500,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA277,Mount Vernon,NY,,84000,,,,84000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA328,Municipality of Aguadilla,PR,,,,,66000,66000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0068,,
BJA329,MUNICIPALITY OF FAJARDO,PR,,,,,46000,46000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0074,,
BJA330,MUNICIPIO DE BAYAMON,PR,,,,,58000,58000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0054,,
BJA331,Municipio De Ponce,PR,,,474363,,,474363,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA332,MUNICIPIO DE YABUCOA,PR,,,,,60000,60000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0058,,
BJA302,Muscogee (Creek) Nation,OK,,,,82500,,82500,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA069,Nevada County,CA,,,,123000,,123000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA356,"New Braunfels, City of",TX,31745,,,,,31745,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA092,New Castle County,DE,,121500,,,,121500,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA254,New Hampshire Depatment of Corrctions,NH,,,,,52006,52006,https://bja.ojp.gov/funding/awards/2019-bc-bx-0043,,
BJA087,"New Haven, City of",CT,90000,,,,,90000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA256,New Jersey State Park Police,NJ,,,,132000,,132000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA190,New Orleans Police Department,LA,237000,,,,,237000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA225,New Ulm,MN,,,30000,,,30000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA278,New York Department of Corrections and Community Supervision,NY,,,835196,,,835196,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA279,New York State Department of Corrections and Community Super,NY,,,,,2999980,2999980,https://bja.ojp.gov/funding/awards/2019-bc-bx-0026,,
BJA015,Newark,NJ,,372500,496920,,,869420,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,
BJA141,Newport News Sheriffs Office,VA,209944,,,,,209944,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA126,Newton County,GA,89199,,45000,,,134199,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,
BJA366,Newton County Sheriff's Office,TX,,,,45000,,45000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA042,Nogales Police Department,AZ,,,,82500,,82500,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA153,North Liberty,IA,,14910,,,,14910,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA296,Northeast Ohio Medical University,OH,,,,,10000,10000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0027,,
